BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, +ACM- beacons, +ACM- IV, LAN IP, ID+AC0-length, ESSID, Key,
30:87:D9:9E:3D:6C, 2018+AC0-02+AC0-28 18:28:00, 2018+AC0-02+AC0-28 18:28:36,100,54, WPA2, CCMP TKIP, MGT,+AC0-87,7,0,   0.  0.  0.  0,9, wlan.data, ,
30:87:D9:1E:3A:7D, 2018+AC0-02+AC0-28 18:28:25, 2018+AC0-02+AC0-28 18:28:37,120,54, WPA2, CCMP,PSK,+AC0-87,2,0,   0.  0.  0.  0,8, wlan.pda, ,
30:87:D9:5E:40:AD, 2018+AC0-02+AC0-28 18:27:49, 2018+AC0-02+AC0-28 18:28:24,104,54, WPA2, CCMP,PSK,+AC0-87,6,0,   0.  0.  0.  0,12, Vitalis.Ipad, ,
82:2A:A8:CA:8C:0A, 2018+AC0-02+AC0-28 18:28:07, 2018+AC0-02+AC0-28 18:28:07,1,54, WPA2, CCMP,PSK,+AC0-81,1,0,   0.  0.  0.  0,16, Partout DNA 5Ghz, ,
00:0C:42:E7:62:F6, 2018+AC0-02+AC0-28 18:26:41, 2018+AC0-02+AC0-28 18:28:03,140,+AC0-1, OPN ,       ,   ,+AC0-87,0,6,   0.  0.  0.  0,0, , ,
1C:3A:DE:BC:83:15, 2018+AC0-02+AC0-28 18:28:07, 2018+AC0-02+AC0-28 18:28:07,13,54, WPA2, CCMP TKIP,PSK,+AC0-89,2,0,   0.  0.  0.  0,12, HZN240657330, ,
D4:68:4D:04:FC:78, 2018+AC0-02+AC0-28 18:27:55, 2018+AC0-02+AC0-28 18:27:55,7,54, WPA2, CCMP,PSK,+AC0-78,1,0,   0.  0.  0.  0,10, Techsharks, ,
90:5C:44:45:9D:16, 2018+AC0-02+AC0-28 18:27:31, 2018+AC0-02+AC0-28 18:27:55,1,54, WPA2, CCMP TKIP,PSK,+AC0-80,3,0,   0.  0.  0.  0,8, Awesome1, ,
24:79:2A:0C:88:08, 2018+AC0-02+AC0-28 18:27:46, 2018+AC0-02+AC0-28 18:27:57,10,54, WPA2, CCMP,PSK,+AC0-80,4,0,   0.  0.  0.  0,10, Techsharks, ,
5C:A3:9D:A9:F3:28, 2018+AC0-02+AC0-28 18:27:43, 2018+AC0-02+AC0-28 18:27:55,1,54, WPA2, CCMP TKIP,PSK,+AC0-82,2,0,   0.  0.  0.  0,12, UPC245224130, ,
D8:38:FC:85:6A:48, 2018+AC0-02+AC0-28 18:27:56, 2018+AC0-02+AC0-28 18:27:56,2,54, WPA2, CCMP,PSK,+AC0-83,0,0,   0.  0.  0.  0,11, CQM+AC0-LIMITED, ,
30:87:D9:1E:38:68, 2018+AC0-02+AC0-28 18:27:55, 2018+AC0-02+AC0-28 18:27:56,13,54, OPN ,       ,   ,+AC0-84,2,0,   0.  0.  0.  0,14, Vitalis.Gasten, ,
F0:9F:C2:A7:30:A5, 2018+AC0-02+AC0-28 18:27:55, 2018+AC0-02+AC0-28 18:27:55,1,54, WPA2, CCMP,PSK,+AC0-84,1,0,   0.  0.  0.  0,6, Meeren, ,
30:87:D9:9E:3E:08, 2018+AC0-02+AC0-28 18:27:43, 2018+AC0-02+AC0-28 18:27:55,1,54, WPA2, CCMP TKIP, MGT,+AC0-85,1,0,   0.  0.  0.  0,9, wlan.data, ,
54:FA:3E:BE:8E:01, 2018+AC0-02+AC0-28 18:27:44, 2018+AC0-02+AC0-28 18:27:44,13,54, WPA2, CCMP TKIP,PSK,+AC0-73,1,0,   0.  0.  0.  0,12, HZN243463750, ,
00:50:7F:AC:37:E8, 2018+AC0-02+AC0-28 18:27:44, 2018+AC0-02+AC0-28 18:27:45,3,54, WPA2, CCMP,PSK,+AC0-76,3,1,   0.  0.  0.  0,15, Ben bas bouwval, ,
54:88:0E:A8:90:98, 2018+AC0-02+AC0-28 18:27:33, 2018+AC0-02+AC0-28 18:27:45,3,54, WPA2, CCMP TKIP,PSK,+AC0-78,6,0,   0.  0.  0.  0,12, UPC242777040, ,
78:C1:A7:10:BB:D2, 2018+AC0-02+AC0-28 18:27:21, 2018+AC0-02+AC0-28 18:27:45,3,54, WPA2, CCMP,PSK,+AC0-78,8,0,   0.  0.  0.  0,11, H369A10BBD2, ,
54:FA:3E:6C:7B:CF, 2018+AC0-02+AC0-28 18:27:34, 2018+AC0-02+AC0-28 18:27:46,11,54, WPA2, CCMP TKIP,PSK,+AC0-78,3,0,   0.  0.  0.  0,11, ziggo 24ghz, ,
FA:8F:CA:36:C7:8A, 2018+AC0-02+AC0-28 18:27:44, 2018+AC0-02+AC0-28 18:27:45,3,54, OPN ,       ,   ,+AC0-80,3,0,   0.  0.  0.  0,0, , ,
8C:E0:81:67:18:2B, 2018+AC0-02+AC0-28 18:27:44, 2018+AC0-02+AC0-28 18:27:45,3,54, WPA2WPA , CCMP TKIP,PSK,+AC0-80,3,0,   0.  0.  0.  0,11, H368N67182B, ,
A8:BD:27:A0:60:A0, 2018+AC0-02+AC0-28 18:27:35, 2018+AC0-02+AC0-28 18:27:46,6,54, WPA2, CCMP,PSK,+AC0-80,3,0,   0.  0.  0.  0,0, , ,
90:5C:44:47:59:FD, 2018+AC0-02+AC0-28 18:27:46, 2018+AC0-02+AC0-28 18:27:46,6,54, WPA2, CCMP TKIP,PSK,+AC0-84,1,2,   0.  0.  0.  0,8, Willem65, ,
60:E3:27:5D:D3:0C, 2018+AC0-02+AC0-28 18:27:35, 2018+AC0-02+AC0-28 18:27:35,36,+AC0-1,     ,       ,   ,+AC0-1,0,0,   0.  0.  0.  0,0, , ,
54:67:51:E7:31:C5, 2018+AC0-02+AC0-28 18:27:34, 2018+AC0-02+AC0-28 18:27:35,11,54, WPA2, CCMP,PSK,+AC0-60,3,1,   0.  0.  0.  0,12, ZiggoA36F4A9, ,
FA:8F:CA:3C:1D:57, 2018+AC0-02+AC0-28 18:27:33, 2018+AC0-02+AC0-28 18:27:33,9,54, OPN ,       ,   ,+AC0-65,2,0,   0.  0.  0.  0,0, , ,
DC:53:7C:AE:65:93, 2018+AC0-02+AC0-28 18:27:34, 2018+AC0-02+AC0-28 18:27:34,11,54, WPA2, CCMP TKIP,PSK,+AC0-66,1,0,   0.  0.  0.  0,6, Mental, ,
90:5C:44:45:AA:1B, 2018+AC0-02+AC0-28 18:27:34, 2018+AC0-02+AC0-28 18:27:35,11,54, WPA2, CCMP,PSK,+AC0-68,2,0,   0.  0.  0.  0,12, ZiggoC7E1974, ,
44:32:C8:31:8D:A1, 2018+AC0-02+AC0-28 18:27:35, 2018+AC0-02+AC0-28 18:27:35,6,54, WPA2WPA , CCMP TKIP,PSK,+AC0-69,2,0,   0.  0.  0.  0,10, UPC0943889, ,
F8:04:2E:53:96:28, 2018+AC0-02+AC0-28 18:27:34, 2018+AC0-02+AC0-28 18:27:34,5,54, WPA2, CCMP TKIP,PSK,+AC0-70,2,0,   0.  0.  0.  0,12, UPC249669793, ,
DC:53:7C:AE:65:62, 2018+AC0-02+AC0-28 18:27:36, 2018+AC0-02+AC0-28 18:27:36,48,54, WPA2WPA , CCMP TKIP,PSK,+AC0-71,2,1,   0.  0.  0.  0,6, Mental, ,
06:7C:34:38:1F:F7, 2018+AC0-02+AC0-28 18:27:34, 2018+AC0-02+AC0-28 18:27:34,11,54, WPA2WPA , CCMP TKIP, MGT,+AC0-71,2,0,   0.  0.  0.  0,5, Ziggo, ,
46:32:C8:31:8D:A3, 2018+AC0-02+AC0-28 18:27:35, 2018+AC0-02+AC0-28 18:27:35,6,54, WPA2, CCMP TKIP, MGT,+AC0-72,3,0,   0.  0.  0.  0,5, Ziggo, ,
A0:EC:80:47:30:F1, 2018+AC0-02+AC0-28 18:27:34, 2018+AC0-02+AC0-28 18:27:34,4,54, WPA2WPA , CCMP TKIP,PSK,+AC0-72,2,0,   0.  0.  0.  0,14, Koos Draadloos, ,
54:22:F8:14:3E:2A, 2018+AC0-02+AC0-28 18:27:33, 2018+AC0-02+AC0-28 18:27:34,3,54, WPA2WPA , CCMP TKIP,PSK,+AC0-72,4,0,   0.  0.  0.  0,11, H368N143E2A, ,
78:C1:A7:10:95:C8, 2018+AC0-02+AC0-28 18:27:32, 2018+AC0-02+AC0-28 18:27:33,3,54, WPA2, CCMP,PSK,+AC0-73,3,0,   0.  0.  0.  0,16, Willemstraat 47E, ,
90:5C:44:45:AA:13, 2018+AC0-02+AC0-28 18:27:36, 2018+AC0-02+AC0-28 18:27:36,56,54, WPA2, CCMP,PSK,+AC0-74,3,0,   0.  0.  0.  0,12, ZiggoC7E1974, ,
00:1D:AA:7E:21:7C, 2018+AC0-02+AC0-28 18:27:34, 2018+AC0-02+AC0-28 18:27:34,11,54, WPA2, CCMP TKIP,PSK,+AC0-74,2,0,   0.  0.  0.  0,13, Wilstr05 2GHz, ,
00:18:F6:01:A3:D5, 2018+AC0-02+AC0-28 18:27:21, 2018+AC0-02+AC0-28 18:27:33,3,54, WPA2WPA , CCMP TKIP,PSK,+AC0-76,3,0,   0.  0.  0.  0,16, SpeedTouchDE4C4C, ,
38:43:7D:37:87:1D, 2018+AC0-02+AC0-28 18:27:37, 2018+AC0-02+AC0-28 18:27:37,100,54, WPA2, CCMP,PSK,+AC0-77,3,0,   0.  0.  0.  0,12, Ziggo7774112, ,
54:88:0E:1F:B9:68, 2018+AC0-02+AC0-28 18:27:33, 2018+AC0-02+AC0-28 18:27:33,9,54, WPA2, CCMP TKIP,PSK,+AC0-77,2,0,   0.  0.  0.  0,12, UPC240549685, ,
DC:53:7C:AE:1C:B4, 2018+AC0-02+AC0-28 18:27:37, 2018+AC0-02+AC0-28 18:27:37,104,54, WPA2, CCMP,PSK,+AC0-79,2,0,   0.  0.  0.  0,12, Ziggo3D71199, ,
C0:25:E9:73:F5:90, 2018+AC0-02+AC0-28 18:27:33, 2018+AC0-02+AC0-28 18:27:34,4,54, WPA2, CCMP TKIP,PSK,+AC0-80,2,0,   0.  0.  0.  0,14, Koos Draadloos, ,
74:B5:7E:27:5D:F7, 2018+AC0-02+AC0-28 18:27:13, 2018+AC0-02+AC0-28 18:27:36,+AC0-1,54, WPA2WPA , CCMP TKIP,PSK,+AC0-80,5,0,   0.  0.  0.  0,11, H369A275DF6, ,
E8:DE:27:8D:E1:27, 2018+AC0-02+AC0-28 18:27:32, 2018+AC0-02+AC0-28 18:27:33,8,54, WPA2, CCMP,PSK,+AC0-80,3,0,   0.  0.  0.  0,5, aduuk, ,
54:88:0E:A8:90:90, 2018+AC0-02+AC0-28 18:27:35, 2018+AC0-02+AC0-28 18:27:35,36,54, WPA2, CCMP,PSK,+AC0-81,2,0,   0.  0.  0.  0,12, UPC504659212, ,
F8:04:2E:53:96:20, 2018+AC0-02+AC0-28 18:27:37, 2018+AC0-02+AC0-28 18:27:37,100,54, WPA2, CCMP,PSK,+AC0-82,2,0,   0.  0.  0.  0,12, UPC500476087, ,
54:FA:3E:6C:7B:D0, 2018+AC0-02+AC0-28 18:27:36, 2018+AC0-02+AC0-28 18:27:36,52,54, WPA2, CCMP,PSK,+AC0-82,2,0,   0.  0.  0.  0,12, HZN503411405, ,
EA:40:F2:25:BD:21, 2018+AC0-02+AC0-28 18:27:33, 2018+AC0-02+AC0-28 18:27:33,9,54, WPA2, CCMP, MGT,+AC0-82,1,3,   0.  0.  0.  0,5, Ziggo, ,
8E:04:FF:B9:1F:D1, 2018+AC0-02+AC0-28 18:27:11, 2018+AC0-02+AC0-28 18:27:35,6,54, WPA2, CCMP TKIP, MGT,+AC0-82,1,9,   0.  0.  0.  0,5, Ziggo, ,
AC:22:05:4E:88:34, 2018+AC0-02+AC0-28 18:27:37, 2018+AC0-02+AC0-28 18:27:37,60,54, WPA2, CCMP,PSK,+AC0-85,2,0,   0.  0.  0.  0,12, ZiggoD5B6371, ,
FA:8F:CA:95:49:3B, 2018+AC0-02+AC0-28 18:27:36, 2018+AC0-02+AC0-28 18:27:36,+AC0-1,54, OPN ,       ,   ,+AC0-85,3,0,   0.  0.  0.  0,0, , ,
82:2A:A8:12:FE:A6, 2018+AC0-02+AC0-28 18:27:36, 2018+AC0-02+AC0-28 18:27:36,44,54, WPA2, CCMP,PSK,+AC0-86,2,0,   0.  0.  0.  0,13, Wilstr03 5GHz, ,
82:2A:A8:12:FE:A7, 2018+AC0-02+AC0-28 18:27:36, 2018+AC0-02+AC0-28 18:27:36,44,54, WPA2, CCMP,PSK,+AC0-86,3,0,   0.  0.  0.  0,13, Wilstr02 5GHz, ,
78:C1:A7:10:BB:D3, 2018+AC0-02+AC0-28 18:27:25, 2018+AC0-02+AC0-28 18:27:37,+AC0-1,54, WPA2, CCMP,PSK,+AC0-86,5,0,   0.  0.  0.  0,11, H369A10BBD2, ,
38:D8:2F:25:B5:4C, 2018+AC0-02+AC0-28 18:27:37, 2018+AC0-02+AC0-28 18:27:37,100,54, WPA2, CCMP,PSK,+AC0-88,3,10,   0.  0.  0.  0,11, H369A25B54B, ,
FA:8F:CA:95:48:59, 2018+AC0-02+AC0-28 18:27:37, 2018+AC0-02+AC0-28 18:27:37,+AC0-1,54, OPN ,       ,   ,+AC0-88,2,0,   0.  0.  0.  0,0, , ,
00:1D:AA:7E:21:7E, 2018+AC0-02+AC0-28 18:27:35, 2018+AC0-02+AC0-28 18:27:35,36,54, WPA2, CCMP TKIP,PSK,+AC0-88,2,0,   0.  0.  0.  0,13, Wilstr05 5GHz, ,
04:BD:88:09:AB:70, 2018+AC0-02+AC0-28 18:27:37, 2018+AC0-02+AC0-28 18:27:37,100,54, WPA2, CCMP, MGT,+AC0-89,1,0,   0.  0.  0.  0,9, distrik01, ,
E8:94:F6:DF:1F:2E, 2018+AC0-02+AC0-28 18:27:11, 2018+AC0-02+AC0-28 18:27:23,6,54, WPA2WPA , CCMP TKIP,PSK,+AC0-73,1,0,   0.  0.  0.  0,16, Netwerk van will, ,
38:43:7D:3B:97:C3, 2018+AC0-02+AC0-28 18:26:59, 2018+AC0-02+AC0-28 18:27:23,11,54, WPA2, CCMP TKIP,PSK,+AC0-73,2,0,   0.  0.  0.  0,18, POP Boutique Salon, ,
1C:3A:DE:E9:53:DB, 2018+AC0-02+AC0-28 18:27:23, 2018+AC0-02+AC0-28 18:27:23,12,54, WPA2, CCMP TKIP,PSK,+AC0-74,2,0,   0.  0.  0.  0,12, HZN240325853, ,
14:49:E0:B8:6E:A8, 2018+AC0-02+AC0-28 18:27:11, 2018+AC0-02+AC0-28 18:27:23,6,54, WPA2, CCMP TKIP,PSK,+AC0-74,4,0,   0.  0.  0.  0,12, UPC247365201, ,
46:D9:E7:D5:58:AB, 2018+AC0-02+AC0-28 18:27:23, 2018+AC0-02+AC0-28 18:27:23,11,+AC0-1, OPN ,       ,   ,+AC0-75,0,2,   0.  0.  0.  0,0, , ,
4C:5E:0C:03:B0:37, 2018+AC0-02+AC0-28 18:26:50, 2018+AC0-02+AC0-28 18:27:25,+AC0-1,54, OPN ,       ,   ,+AC0-76,8,0,   0.  0.  0.  0,13, EHV FREE WIFI, ,
1C:3A:DE:E5:58:21, 2018+AC0-02+AC0-28 18:27:11, 2018+AC0-02+AC0-28 18:27:23,6,54, WPA2, CCMP TKIP,PSK,+AC0-78,3,0,   0.  0.  0.  0,12, Chichen Itza, ,
36:9A:DD:04:98:10, 2018+AC0-02+AC0-28 18:27:11, 2018+AC0-02+AC0-28 18:27:23,11,54, WPA2, CCMP,PSK,+AC0-79,1,0,   0.  0.  0.  0,20, Gast+AF8-airport21121985, ,
38:43:7D:3B:97:B7, 2018+AC0-02+AC0-28 18:27:01, 2018+AC0-02+AC0-28 18:27:24,48,54, WPA2WPA , CCMP TKIP,PSK,+AC0-80,7,0,   0.  0.  0.  0,18, POP Boutique Salon, ,
AC:22:05:4F:DF:EB, 2018+AC0-02+AC0-28 18:27:25, 2018+AC0-02+AC0-28 18:27:25,100,54, WPA2WPA , CCMP TKIP,PSK,+AC0-82,2,0,   0.  0.  0.  0,16, Who's that girl?, ,
8C:04:FF:B9:1F:DF, 2018+AC0-02+AC0-28 18:27:23, 2018+AC0-02+AC0-28 18:27:23,6,54, WPA2WPA , CCMP TKIP,PSK,+AC0-82,2,0,   0.  0.  0.  0,10, UPC1378261, ,
70:2E:22:8D:75:84, 2018+AC0-02+AC0-28 18:27:25, 2018+AC0-02+AC0-28 18:27:25,+AC0-1,54, WPA2, CCMP,PSK,+AC0-84,3,0,   0.  0.  0.  0,11, H369A8D7583, ,
F2:9F:C2:F4:95:FC, 2018+AC0-02+AC0-28 18:27:23, 2018+AC0-02+AC0-28 18:27:23,6,54, OPN ,       ,   ,+AC0-84,1,0,   0.  0.  0.  0,13, 1910 (Guests), ,
54:67:51:E1:4C:D7, 2018+AC0-02+AC0-28 18:27:24, 2018+AC0-02+AC0-28 18:27:24,44,54, WPA2, CCMP,PSK,+AC0-85,2,0,   0.  0.  0.  0,12, Ziggo857EEF2, ,
