BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, +ACM- beacons, +ACM- IV, LAN IP, ID+AC0-length, ESSID, Key,
9C:6F:52:36:E8:61, 2018+AC0-02+AC0-28 18:40:35, 2018+AC0-02+AC0-28 18:40:36,3,54, WPA2, CCMP,PSK,+AC0-65,5,12,   0.  0.  0.  0,9, WIFIDemin, ,
6A:6F:52:36:E8:62, 2018+AC0-02+AC0-28 18:40:35, 2018+AC0-02+AC0-28 18:40:36,3,54, OPN ,       ,   ,+AC0-65,6,0,   0.  0.  0.  0,7, KPN Fon, ,
5A:4D:EA:9C:DB:A8, 2018+AC0-02+AC0-28 18:40:35, 2018+AC0-02+AC0-28 18:40:36,3,54, OPN ,       ,   ,+AC0-71,2,0,   0.  0.  0.  0,7, KPN Fon, ,
00:1D:AA:C5:4A:38, 2018+AC0-02+AC0-28 18:40:34, 2018+AC0-02+AC0-28 18:40:35,1,54, WPA2, CCMP,PSK,+AC0-72,3,0,   0.  0.  0.  0,11, VFNL+AC0-C54A38, ,
38:43:7D:0F:A3:F7, 2018+AC0-02+AC0-28 18:40:35, 2018+AC0-02+AC0-28 18:40:37,6,54, WPA2, CCMP,PSK,+AC0-75,4,0,   0.  0.  0.  0,9, konijntje, ,
30:99:35:91:5B:1E, 2018+AC0-02+AC0-28 18:40:36, 2018+AC0-02+AC0-28 18:40:36,9,54, WPA2, CCMP,PSK,+AC0-76,2,0,   0.  0.  0.  0,11, H369A915B1E, ,
34:4D:EA:9C:DB:AB, 2018+AC0-02+AC0-28 18:40:35, 2018+AC0-02+AC0-28 18:40:36,3,54, WPA2WPA , CCMP TKIP,PSK,+AC0-76,3,9,   0.  0.  0.  0,11, H368N9CDBAB, ,
72:99:35:91:5B:1F, 2018+AC0-02+AC0-28 18:40:36, 2018+AC0-02+AC0-28 18:40:36,9,54, OPN ,       ,   ,+AC0-77,1,0,   0.  0.  0.  0,7, KPN Fon, ,
00:15:F2:91:18:73, 2018+AC0-02+AC0-28 18:40:37, 2018+AC0-02+AC0-28 18:40:37,11,54, WPA2WPA , CCMP TKIP,PSK,+AC0-81,2,0,   0.  0.  0.  0,8, Bontmuts, ,
00:02:6F:A0:C5:BF, 2018+AC0-02+AC0-28 18:40:35, 2018+AC0-02+AC0-28 18:40:35,2,+AC0-1, WPA ,       ,   ,+AC0-85,0,2,   0.  0.  0.  0,0, , ,
AC:22:05:60:E4:35, 2018+AC0-02+AC0-28 18:40:27, 2018+AC0-02+AC0-28 18:40:27,52,54, WPA2WPA , CCMP TKIP,PSK,+AC0-58,2,0,   0.  0.  0.  0,12, ZiggoB5943CF, ,
90:5C:44:CF:27:94, 2018+AC0-02+AC0-28 18:40:25, 2018+AC0-02+AC0-28 18:40:26,11,54, WPA2, CCMP,PSK,+AC0-63,4,0,   0.  0.  0.  0,12, Ziggo6FD93CE, ,
30:99:35:91:8E:DB, 2018+AC0-02+AC0-28 18:40:26, 2018+AC0-02+AC0-28 18:40:26,6,54, WPA2, CCMP,PSK,+AC0-68,3,0,   0.  0.  0.  0,11, H369A918EDB, ,
7A:99:35:91:8E:D8, 2018+AC0-02+AC0-28 18:40:26, 2018+AC0-02+AC0-28 18:40:26,6,54, OPN ,       ,   ,+AC0-69,2,0,   0.  0.  0.  0,7, KPN Fon, ,
54:67:51:BC:99:12, 2018+AC0-02+AC0-28 18:40:22, 2018+AC0-02+AC0-28 18:40:23,1,54, WPA2, CCMP,PSK,+AC0-69,4,0,   0.  0.  0.  0,12, Ziggo1BCD532, ,
1C:3A:DE:BC:04:AD, 2018+AC0-02+AC0-28 18:40:25, 2018+AC0-02+AC0-28 18:40:26,5,54, WPA2, CCMP TKIP,PSK,+AC0-71,4,0,   0.  0.  0.  0,12, HZN247370380, ,
00:13:D4:50:06:FB, 2018+AC0-02+AC0-28 18:40:23, 2018+AC0-02+AC0-28 18:40:24,8,54, WPA2, CCMP,PSK,+AC0-77,4,0,   0.  0.  0.  0,10, WirelessAS, ,
48:BA:4E:70:11:29, 2018+AC0-02+AC0-28 18:40:25, 2018+AC0-02+AC0-28 18:40:25,11,54, WPA2, CCMP,PSK,+AC0-78,2,0,   0.  0.  0.  0,32, DIRECT+AC0-26+AC0-HP DeskJet 2600 series, ,
54:67:51:0B:22:DC, 2018+AC0-02+AC0-28 18:40:25, 2018+AC0-02+AC0-28 18:40:25,11,54, WPA2, CCMP TKIP,PSK,+AC0-78,2,1,   0.  0.  0.  0,6, Peelen, ,
00:1D:AA:C7:17:B0, 2018+AC0-02+AC0-28 18:40:24, 2018+AC0-02+AC0-28 18:40:26,3,54, WPA2, CCMP TKIP,PSK,+AC0-81,5,0,   0.  0.  0.  0,11, VFNL+AC0-C717B0, ,
7A:68:C8:90:8A:04, 2018+AC0-02+AC0-28 18:39:36, 2018+AC0-02+AC0-28 18:40:23,1,54, OPN ,       ,   ,+AC0-81,9,0,   0.  0.  0.  0,7, KPN Fon, ,
8C:68:C8:90:8A:07, 2018+AC0-02+AC0-28 18:39:12, 2018+AC0-02+AC0-28 18:40:23,1,54, WPA2, CCMP,PSK,+AC0-81,9,1,   0.  0.  0.  0,10, Fam. Smits, ,
54:67:51:0B:23:77, 2018+AC0-02+AC0-28 18:40:26, 2018+AC0-02+AC0-28 18:40:26,36,54, WPA2WPA , CCMP TKIP,PSK,+AC0-82,2,0,   0.  0.  0.  0,6, Peelen, ,
AC:22:05:60:E4:63, 2018+AC0-02+AC0-28 18:40:25, 2018+AC0-02+AC0-28 18:40:26,11,54, WPA2, CCMP TKIP,PSK,+AC0-82,3,4,   0.  0.  0.  0,12, ZiggoB5943CF, ,
54:FA:3E:BE:CC:A9, 2018+AC0-02+AC0-28 18:40:24, 2018+AC0-02+AC0-28 18:40:24,3,54, WPA2, CCMP TKIP,PSK,+AC0-82,4,0,   0.  0.  0.  0,12, HZN249047092, ,
54:67:51:BC:99:0E, 2018+AC0-02+AC0-28 18:40:26, 2018+AC0-02+AC0-28 18:40:26,36,54, WPA2, CCMP,PSK,+AC0-84,3,0,   0.  0.  0.  0,12, Ziggo1BCD532, ,
20:89:86:07:4F:46, 2018+AC0-02+AC0-28 18:40:25, 2018+AC0-02+AC0-28 18:40:25,11,54, WPA2WPA , CCMP TKIP,PSK,+AC0-84,1,5,   0.  0.  0.  0,11, H368N074F46, ,
64:D1:A3:4E:1D:73, 2018+AC0-02+AC0-28 18:40:11, 2018+AC0-02+AC0-28 18:40:23,13,54, WPA2, CCMP,PSK,+AC0-84,4,0,   0.  0.  0.  0,13, Sitecom4E1D73, ,
F8:04:2E:06:37:A8, 2018+AC0-02+AC0-28 18:40:11, 2018+AC0-02+AC0-28 18:40:14,6,54, WPA2, CCMP TKIP,PSK,+AC0-70,3,0,   0.  0.  0.  0,12, UPC240707190, ,
00:1D:AA:EF:93:E8, 2018+AC0-02+AC0-28 18:40:01, 2018+AC0-02+AC0-28 18:40:13,10,54, WPA2, CCMP,PSK,+AC0-72,5,0,   0.  0.  0.  0,11, VFNL+AC0-EF93E8, ,
90:5C:44:48:82:76, 2018+AC0-02+AC0-28 18:40:02, 2018+AC0-02+AC0-28 18:40:14,11,54, WPA2, CCMP TKIP,PSK,+AC0-78,4,1,   0.  0.  0.  0,12, ZiggoCB931B4, ,
9C:3D:CF:3D:BE:6A, 2018+AC0-02+AC0-28 18:40:02, 2018+AC0-02+AC0-28 18:40:14,6,54, WPA2, CCMP,PSK,+AC0-79,9,0,   0.  0.  0.  0,9, NETGEAR38, ,
AC:22:05:19:57:08, 2018+AC0-02+AC0-28 18:39:15, 2018+AC0-02+AC0-28 18:40:14,11,54, WPA2, CCMP,PSK,+AC0-81,4,0,   0.  0.  0.  0,12, ZiggoDE8E875, ,
00:1E:E5:83:F9:E6, 2018+AC0-02+AC0-28 18:40:02, 2018+AC0-02+AC0-28 18:40:14,5,54, WPA2, CCMP,PSK,+AC0-82,5,0,   0.  0.  0.  0,6, VAWLAN, ,
54:BE:53:89:9D:0A, 2018+AC0-02+AC0-28 18:39:02, 2018+AC0-02+AC0-28 18:40:13,3,54, WPA2, CCMP,PSK,+AC0-85,10,20,   0.  0.  0.  0,6, bob157, ,
00:14:5C:8E:34:34, 2018+AC0-02+AC0-28 18:40:02, 2018+AC0-02+AC0-28 18:40:14,11,54, WPA2, CCMP,PSK,+AC0-86,3,0,   0.  0.  0.  0,10, UPC4056893, ,
5C:A3:9D:F3:AC:F0, 2018+AC0-02+AC0-28 18:40:03, 2018+AC0-02+AC0-28 18:40:03,36,54, WPA2, CCMP TKIP,PSK,+AC0-83,2,0,   0.  0.  0.  0,12, UPC504534297, ,
28:FF:3E:1A:95:3C, 2018+AC0-02+AC0-28 18:40:04, 2018+AC0-02+AC0-28 18:40:04,+AC0-1,54, WPA2, CCMP,PSK,+AC0-84,3,0,   0.  0.  0.  0,10, hermanneke, ,
F8:04:2E:06:37:A0, 2018+AC0-02+AC0-28 18:40:07, 2018+AC0-02+AC0-28 18:40:07,132,54, WPA2, CCMP,PSK,+AC0-85,2,0,   0.  0.  0.  0,12, UPC502084036, ,
90:5C:44:48:82:4A, 2018+AC0-02+AC0-28 18:40:05, 2018+AC0-02+AC0-28 18:40:05,100,54, WPA2WPA , CCMP TKIP,PSK,+AC0-86,2,0,   0.  0.  0.  0,12, ZiggoCB931B4, ,
38:43:7D:3D:5B:DF, 2018+AC0-02+AC0-28 18:40:05, 2018+AC0-02+AC0-28 18:40:05,100,54, WPA2, CCMP,PSK,+AC0-86,2,0,   0.  0.  0.  0,12, Ziggo1692319, ,
48:8D:36:BF:8A:EA, 2018+AC0-02+AC0-28 18:40:04, 2018+AC0-02+AC0-28 18:40:04,+AC0-1,54, WPA2WPA , CCMP TKIP,PSK,+AC0-87,3,0,   0.  0.  0.  0,10, Fam. Smits, ,
58:6D:8F:82:DB:C6, 2018+AC0-02+AC0-28 18:40:03, 2018+AC0-02+AC0-28 18:40:03,+AC0-1,54, WPA2, CCMP,PSK,+AC0-87,3,0,   0.  0.  0.  0,10, hermanneke, ,
1C:C6:3C:00:46:06, 2018+AC0-02+AC0-28 18:38:51, 2018+AC0-02+AC0-28 18:39:03,9,54, WPA2, CCMP,PSK,+AC0-74,7,0,   0.  0.  0.  0,13, VGV7519004606, ,
30:99:35:87:E3:07, 2018+AC0-02+AC0-28 18:38:55, 2018+AC0-02+AC0-28 18:39:06,+AC0-1,54, WPA2, CCMP,PSK,+AC0-85,4,0,   0.  0.  0.  0,11, H369A87E306, ,
E4:6F:13:68:D8:F0, 2018+AC0-02+AC0-28 18:38:05, 2018+AC0-02+AC0-28 18:38:16,10,54, WPA2, CCMP TKIP,PSK,+AC0-84,2,0,   0.  0.  0.  0,14, smartpath+AF8-demo, ,
A0:CF:5B:69:29:81, 2018+AC0-02+AC0-28 18:37:54, 2018+AC0-02+AC0-28 18:37:54,11,54, WPA2, CCMP, MGT,+AC0-79,3,0,   0.  0.  0.  0,6, Mobile, ,
C8:F9:F9:4C:CA:94, 2018+AC0-02+AC0-28 18:37:54, 2018+AC0-02+AC0-28 18:37:54,6,54, OPN ,       ,   ,+AC0-80,2,0,   0.  0.  0.  0,6, Guests, ,
C8:F9:F9:4C:CA:95, 2018+AC0-02+AC0-28 18:37:54, 2018+AC0-02+AC0-28 18:37:54,6,54, WPA2, CCMP, MGT,+AC0-81,2,0,   0.  0.  0.  0,3, DII, ,
58:F3:9C:B4:9C:53, 2018+AC0-02+AC0-28 18:37:54, 2018+AC0-02+AC0-28 18:37:54,6,54, WPA2WPA , CCMP, MGT,+AC0-81,2,0,   0.  0.  0.  0,10, Mobile+AEA-VDL, ,
A0:CF:5B:69:29:86, 2018+AC0-02+AC0-28 18:37:54, 2018+AC0-02+AC0-28 18:37:54,11,54, WPA2, CCMP, MGT,+AC0-81,2,0,   0.  0.  0.  0,10, Production, ,
C8:F9:F9:4C:CA:92, 2018+AC0-02+AC0-28 18:37:54, 2018+AC0-02+AC0-28 18:37:54,6,54, WPA2WPA , CCMP TKIP, MGT,+AC0-82,2,0,   0.  0.  0.  0,16, sobel+AC0-rf+AC0-scannen, ,
02:8D:DB:71:67:81, 2018+AC0-02+AC0-28 18:37:54, 2018+AC0-02+AC0-28 18:37:54,6,54, WPA2WPA , CCMP TKIP, MGT,+AC0-84,2,0,   0.  0.  0.  0,16, sobel+AC0-rf+AC0-scannen, ,
A0:CF:5B:69:29:85, 2018+AC0-02+AC0-28 18:37:53, 2018+AC0-02+AC0-28 18:37:54,11,54, WPA2, CCMP, MGT,+AC0-84,3,0,   0.  0.  0.  0,3, DII, ,
28:FF:3E:2F:EB:DF, 2018+AC0-02+AC0-28 18:37:07, 2018+AC0-02+AC0-28 18:37:07,6,54, WPA2WPA , CCMP TKIP,PSK,+AC0-77,3,0,   0.  0.  0.  0,32, Garage +ACY- Bandencentrum Eindhoven, ,
5C:49:79:CF:2B:8A, 2018+AC0-02+AC0-28 18:37:04, 2018+AC0-02+AC0-28 18:37:04,1,54, WPA2WPA , CCMP TKIP,PSK,+AC0-79,2,0,   0.  0.  0.  0,6, Center, ,
3C:52:82:21:D5:3A, 2018+AC0-02+AC0-28 18:37:07, 2018+AC0-02+AC0-28 18:37:07,6,54, WPA2, CCMP,PSK,+AC0-81,3,0,   0.  0.  0.  0,29, DIRECT+AC0-39+AC0-HP ENVY 5540 series, ,
00:1D:AA:33:FE:81, 2018+AC0-02+AC0-28 18:36:55, 2018+AC0-02+AC0-28 18:37:07,11,54, WPA2, CCMP,PSK,+AC0-82,4,0,   0.  0.  0.  0,8, VMF+AF8-GAST, ,
00:1D:AA:33:FE:80, 2018+AC0-02+AC0-28 18:36:55, 2018+AC0-02+AC0-28 18:37:07,11,54, WPA2, CCMP,PSK,+AC0-83,5,0,   0.  0.  0.  0,4, VMF1, ,
D8:38:FC:0C:6D:98, 2018+AC0-02+AC0-28 18:36:42, 2018+AC0-02+AC0-28 18:37:05,8,54, OPN ,       ,   ,+AC0-84,5,0,   0.  0.  0.  0,3, KPN, ,
2C:C5:D3:26:B6:78, 2018+AC0-02+AC0-28 18:37:07, 2018+AC0-02+AC0-28 18:37:07,12,54, WPA2WPA , CCMP,PSK,+AC0-88,2,0,   0.  0.  0.  0,9, Ventinova, ,
48:F8:B3:CE:31:C6, 2018+AC0-02+AC0-28 18:36:44, 2018+AC0-02+AC0-28 18:36:55,6,54, WPA2, CCMP,PSK,+AC0-85,3,0,   0.  0.  0.  0,18, Het Goed +AC0- Kantoor, ,
38:43:7D:38:BA:58, 2018+AC0-02+AC0-28 18:36:41, 2018+AC0-02+AC0-28 18:36:44,6,54, WPA2, CCMP,PSK,+AC0-75,2,0,   0.  0.  0.  0,12, Ziggo4002896, ,
54:67:51:E3:BC:6B, 2018+AC0-02+AC0-28 18:36:32, 2018+AC0-02+AC0-28 18:36:44,11,54, WPA2, CCMP,PSK,+AC0-82,4,0,   0.  0.  0.  0,12, Ziggo984EA4C, ,
C0:FF:D4:8D:3D:34, 2018+AC0-02+AC0-28 18:36:31, 2018+AC0-02+AC0-28 18:36:43,10,54, WPA2, CCMP,PSK,+AC0-84,2,0,   0.  0.  0.  0,9, NETGEAR44, ,
EC:8C:A2:36:56:AC, 2018+AC0-02+AC0-28 18:36:47, 2018+AC0-02+AC0-28 18:36:47,108,54, OPN ,       ,   ,+AC0-85,2,0,   0.  0.  0.  0,3, KPN, ,
52:AC:0A:12:28:ED, 2018+AC0-02+AC0-28 18:36:44, 2018+AC0-02+AC0-28 18:36:44,6,54, OPN ,       ,   ,+AC0-85,2,0,   0.  0.  0.  0,7, KPN Fon, ,
84:9C:A6:62:51:0B, 2018+AC0-02+AC0-28 18:36:17, 2018+AC0-02+AC0-28 18:36:17,1,54, WPA2, CCMP TKIP,PSK,+AC0-79,2,0,   0.  0.  0.  0,13, ARV751962510B, ,
5C:DC:96:87:AD:9F, 2018+AC0-02+AC0-28 18:36:06, 2018+AC0-02+AC0-28 18:36:17,1,54, WPA2, CCMP,PSK,+AC0-79,4,0,   0.  0.  0.  0,13, VGV751987AD9F, ,
00:FE:C8:D6:8F:E0, 2018+AC0-02+AC0-28 18:36:07, 2018+AC0-02+AC0-28 18:36:07,3,54, WPA2, CCMP,PSK,+AC0-78,3,0,   0.  0.  0.  0,9, WLAN+AC0-LUMI, ,
8A:DC:96:54:B0:6E, 2018+AC0-02+AC0-28 18:35:54, 2018+AC0-02+AC0-28 18:36:06,7,54, WPA2, CCMP,PSK,+AC0-78,5,0,   0.  0.  0.  0,6, FORTEC, ,
9A:DC:96:54:B0:6E, 2018+AC0-02+AC0-28 18:35:54, 2018+AC0-02+AC0-28 18:36:06,7,54, WPA2, CCMP,PSK,+AC0-80,5,0,   0.  0.  0.  0,9, REEF+AC0-wifi, ,
88:DC:96:54:B0:6E, 2018+AC0-02+AC0-28 18:35:54, 2018+AC0-02+AC0-28 18:36:06,7,54, WPA2, CCMP,PSK,+AC0-82,3,0,   0.  0.  0.  0,4, REEF, ,
00:FE:C8:EF:51:D0, 2018+AC0-02+AC0-28 18:36:06, 2018+AC0-02+AC0-28 18:36:07,7,54, WPA2, CCMP,PSK,+AC0-83,3,0,   0.  0.  0.  0,9, WLAN+AC0-LUMI, ,
8A:DC:96:54:B0:6B, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:56,8,54, WPA2, CCMP,PSK,+AC0-69,4,0,   0.  0.  0.  0,6, FORTEC, ,
88:DC:96:54:B0:6B, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:56,8,54, WPA2, CCMP,PSK,+AC0-71,4,0,   0.  0.  0.  0,4, REEF, ,
8A:DC:96:54:B4:07, 2018+AC0-02+AC0-28 18:35:56, 2018+AC0-02+AC0-28 18:35:56,9,54, WPA2, CCMP,PSK,+AC0-73,2,0,   0.  0.  0.  0,6, FORTEC, ,
9A:DC:96:54:B0:6B, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:55,8,54, WPA2, CCMP,PSK,+AC0-73,2,0,   0.  0.  0.  0,9, REEF+AC0-wifi, ,
AA:DC:96:54:B0:74, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:55,8,54, WPA2, CCMP,PSK,+AC0-73,1,0,   0.  0.  0.  0,11, FORTEC+AC0-wifi, ,
9A:DC:96:54:B4:07, 2018+AC0-02+AC0-28 18:35:56, 2018+AC0-02+AC0-28 18:35:56,9,54, WPA2, CCMP,PSK,+AC0-74,2,0,   0.  0.  0.  0,9, REEF+AC0-wifi, ,
AA:DC:96:54:B0:6B, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:55,8,54, WPA2, CCMP,PSK,+AC0-74,2,0,   0.  0.  0.  0,11, FORTEC+AC0-wifi, ,
88:DC:96:54:B4:07, 2018+AC0-02+AC0-28 18:35:56, 2018+AC0-02+AC0-28 18:35:56,9,54, WPA2, CCMP,PSK,+AC0-75,2,0,   0.  0.  0.  0,4, REEF, ,
8A:DC:96:54:B0:74, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:55,8,54, WPA2, CCMP,PSK,+AC0-75,2,0,   0.  0.  0.  0,6, FORTEC, ,
9A:DC:96:54:B0:74, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:55,8,54, WPA2, CCMP,PSK,+AC0-76,2,0,   0.  0.  0.  0,9, REEF+AC0-wifi, ,
88:DC:96:54:B0:7D, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:55,2,54, WPA2, CCMP,PSK,+AC0-77,3,0,   0.  0.  0.  0,4, REEF, ,
9A:DC:96:54:B0:71, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:56,3,54, WPA2, CCMP,PSK,+AC0-78,4,1,   0.  0.  0.  0,9, REEF+AC0-wifi, ,
AA:DC:96:54:B0:7D, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:55,2,54, WPA2, CCMP,PSK,+AC0-79,3,0,   0.  0.  0.  0,11, FORTEC+AC0-wifi, ,
9A:DC:96:54:B0:7D, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:55,2,54, WPA2, CCMP,PSK,+AC0-80,2,0,   0.  0.  0.  0,9, REEF+AC0-wifi, ,
0C:68:03:D7:2B:81, 2018+AC0-02+AC0-28 18:35:54, 2018+AC0-02+AC0-28 18:35:55,13,54, WPA2, TKIP,PSK,+AC0-80,2,0,   0.  0.  0.  0,16, LAKA Huis Gasten, ,
8A:DC:96:54:B0:7D, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:55,2,54, WPA2, CCMP,PSK,+AC0-81,1,0,   0.  0.  0.  0,6, FORTEC, ,
0C:68:03:D7:2B:80, 2018+AC0-02+AC0-28 18:35:54, 2018+AC0-02+AC0-28 18:35:55,13,54, WPA , TKIP,PSK,+AC0-81,3,0,   0.  0.  0.  0,9, LAKA Huis, ,
AA:DC:96:54:B0:71, 2018+AC0-02+AC0-28 18:35:55, 2018+AC0-02+AC0-28 18:35:55,3,54, WPA2, CCMP,PSK,+AC0-82,2,0,   0.  0.  0.  0,11, FORTEC+AC0-wifi, ,
00:1A:8C:C6:54:F1, 2018+AC0-02+AC0-28 18:35:54, 2018+AC0-02+AC0-28 18:35:55,13,54, WPA2, CCMP,PSK,+AC0-84,3,0,   0.  0.  0.  0,10, Enter WiFi, ,
00:1A:8C:C6:54:F2, 2018+AC0-02+AC0-28 18:35:54, 2018+AC0-02+AC0-28 18:35:55,13,54, WPA2, CCMP,PSK,+AC0-85,3,0,   0.  0.  0.  0,10, ENTER Gast, ,
80:2A:A8:11:7A:57, 2018+AC0-02+AC0-28 18:35:54, 2018+AC0-02+AC0-28 18:35:54,1,54, WPA2, CCMP,PSK,+AC0-85,2,0,   0.  0.  0.  0,3, OCF, ,
00:00:00:00:00:00, 2018+AC0-02+AC0-28 18:26:14, 2018+AC0-02+AC0-28 18:35:45,48,+AC0-1, OPN ,       ,   ,+AC0-1,0,2,   0.  0.  0.  0,0, , ,
02:18:1A:35:30:EC, 2018+AC0-02+AC0-28 18:35:34, 2018+AC0-02+AC0-28 18:35:46,36,54, WPA2WPA , CCMP TKIP,PSK,+AC0-87,2,0,   0.  0.  0.  0,19, Paradigit Eindhoven, ,
80:1F:02:60:18:38, 2018+AC0-02+AC0-28 18:35:33, 2018+AC0-02+AC0-28 18:35:33,11,54, WPA2, CCMP TKIP,PSK,+AC0-87,2,0,   0.  0.  0.  0,5, ICIDU, ,
F0:5C:19:66:65:B0, 2018+AC0-02+AC0-28 18:35:23, 2018+AC0-02+AC0-28 18:35:23,44,54, WPA2, CCMP,PSK,+AC0-86,2,0,   0.  0.  0.  0,5, Guest, ,
F0:5C:19:66:65:B4, 2018+AC0-02+AC0-28 18:35:23, 2018+AC0-02+AC0-28 18:35:23,44,54, WPA2, CCMP,PSK,+AC0-87,2,0,   0.  0.  0.  0,0, , ,
00:08:30:39:4F:3C, 2018+AC0-02+AC0-28 18:35:23, 2018+AC0-02+AC0-28 18:35:23,+AC0-1,54, WPA2, CCMP,PSK,+AC0-87,3,0,   0.  0.  0.  0,1, , ,
44:E4:D9:84:2A:AE, 2018+AC0-02+AC0-28 18:35:22, 2018+AC0-02+AC0-28 18:35:23,+AC0-1,54, WPA2, CCMP, MGT,+AC0-87,2,0,   0.  0.  0.  0,1, , ,
00:08:30:39:4F:3D, 2018+AC0-02+AC0-28 18:35:23, 2018+AC0-02+AC0-28 18:35:23,+AC0-1,54, WPA2, CCMP,PSK,+AC0-88,2,0,   0.  0.  0.  0,5, Guest, ,
00:08:30:39:4F:3F, 2018+AC0-02+AC0-28 18:35:23, 2018+AC0-02+AC0-28 18:35:23,+AC0-1,54, WPA2, CCMP, MGT,+AC0-88,2,0,   0.  0.  0.  0,1, , ,
00:1A:8C:2A:E3:71, 2018+AC0-02+AC0-28 18:34:56, 2018+AC0-02+AC0-28 18:35:07,1,54, WPA2, CCMP,PSK,+AC0-80,5,0,   0.  0.  0.  0,14, Vrijdag+AC0-Mobile, ,
00:02:6F:D1:0B:9D, 2018+AC0-02+AC0-28 18:34:56, 2018+AC0-02+AC0-28 18:35:07,1,54, WPA , TKIP,PSK,+AC0-82,2,0,   0.  0.  0.  0,2, sd, ,
06:02:6F:D1:0B:9D, 2018+AC0-02+AC0-28 18:34:55, 2018+AC0-02+AC0-28 18:35:07,1,54, WPA2, CCMP,PSK,+AC0-82,3,1,   0.  0.  0.  0,6, Xentry, ,
80:E0:1D:F8:B5:F4, 2018+AC0-02+AC0-28 18:34:47, 2018+AC0-02+AC0-28 18:34:47,6,54, OPN ,       ,   ,+AC0-81,0,0,   0.  0.  0.  0,10, SUMMA+AC0-Gast, ,
80:E0:1D:F8:B5:F0, 2018+AC0-02+AC0-28 18:34:47, 2018+AC0-02+AC0-28 18:34:47,6,54, WPA2, CCMP, MGT,+AC0-81,0,0,   0.  0.  0.  0,7, eduroam, ,
80:E0:1D:F8:B5:F2, 2018+AC0-02+AC0-28 18:34:47, 2018+AC0-02+AC0-28 18:34:47,6,54, WPA2, CCMP, MGT,+AC0-82,0,0,   0.  0.  0.  0,5, SUMMA, ,
80:E0:1D:F8:B5:F1, 2018+AC0-02+AC0-28 18:34:47, 2018+AC0-02+AC0-28 18:34:47,6,54, OPN ,       ,   ,+AC0-83,0,0,   0.  0.  0.  0,10, SUMMASTART, ,
18:8B:9D:03:16:D2, 2018+AC0-02+AC0-28 18:34:47, 2018+AC0-02+AC0-28 18:34:47,11,54, WPA2, CCMP, MGT,+AC0-83,2,0,   0.  0.  0.  0,5, SUMMA, ,
80:E0:1D:F8:B3:C2, 2018+AC0-02+AC0-28 18:34:47, 2018+AC0-02+AC0-28 18:34:47,11,54, WPA2, CCMP, MGT,+AC0-85,2,0,   0.  0.  0.  0,5, SUMMA, ,
C0:C1:C0:20:18:33, 2018+AC0-02+AC0-28 18:34:47, 2018+AC0-02+AC0-28 18:34:47,6,54, OPN ,       ,   ,+AC0-87,2,1, 172. 20. 16. 12,6, dd+AC0-wrt, ,
18:8B:9D:03:16:D4, 2018+AC0-02+AC0-28 18:34:47, 2018+AC0-02+AC0-28 18:34:47,11,54, OPN ,       ,   ,+AC0-87,2,0,   0.  0.  0.  0,10, SUMMA+AC0-Gast, ,
00:1A:8C:C5:21:DF, 2018+AC0-02+AC0-28 18:34:46, 2018+AC0-02+AC0-28 18:34:46,10,54, WPA2, CCMP,PSK,+AC0-88,2,0,   0.  0.  0.  0,16, Vrijdag+AC0-Internal, ,
72:99:35:88:D4:17, 2018+AC0-02+AC0-28 18:34:35, 2018+AC0-02+AC0-28 18:34:35,11,+AC0-1,     ,       ,   ,+AC0-1,0,0,   0.  0.  0.  0,0, , ,
64:09:80:44:5A:87, 2018+AC0-02+AC0-28 18:33:46, 2018+AC0-02+AC0-28 18:34:33,2,54, WPA2, CCMP TKIP,PSK,+AC0-77,13,0,   0.  0.  0.  0,4, Uber, ,
54:FA:3E:B5:50:BB, 2018+AC0-02+AC0-28 18:34:33, 2018+AC0-02+AC0-28 18:34:33,13,54, WPA2, CCMP TKIP,PSK,+AC0-78,2,0,   0.  0.  0.  0,12, HZN240951380, ,
00:02:6F:D0:D8:30, 2018+AC0-02+AC0-28 18:34:33, 2018+AC0-02+AC0-28 18:34:35,6,54, WPA2, CCMP TKIP,PSK,+AC0-79,2,0,   0.  0.  0.  0,11, hansstruijk, ,
